ID	LOG2FOLD	P	P.ADJ
ENSG00000080493	-3301.789152	2.61E-55	1.33E-50
ENSG00000104267	-35963.55993	8.31E-49	2.12E-44
ENSG00000016602	-41304.92803	1.19E-44	2.02E-40
ENSG00000080493	-14525.79081	1.42E-42	1.81E-38
ENSG00000080493	-2860.850956	1.95E-40	1.99E-36
ENSG00000158467	-3343.398022	3.13E-40	2.66E-36
ENSG00000172594	-12809.51577	7.04E-40	5.13E-36
ENSG00000198074	-11620.31612	2.32E-39	1.48E-35
ENSG00000133742	-53229.26116	3.25E-39	1.84E-35
ENSG00000117472	-33585.25089	6.82E-38	3.48E-34
ENSG00000109182	-2824.5394	1.23E-37	5.71E-34
ENSG00000147883	-6091.914011	5.16E-37	2.19E-33
ENSG00000155324	-2550.674611	9.96E-37	3.9E-33
ENSG00000135549	-13431.61188	2.78E-36	1.01E-32
ENSG00000135549	-2728.420052	3.1E-36	1.05E-32
ENSG00000184434	-6208.885889	3.43E-36	1.09E-32
ENSG00000120498	-582.6212222	1.14E-35	3.41E-32
ENSG00000138600	-7145.999333	1.84E-35	5.22E-32
ENSG00000181061	-3795.647833	2.44E-35	6.56E-32
ENSG00000164120	-12862.60833	3.22E-35	8.21E-32
ENSG00000179163	-12075.5	4.62E-35	1.12E-31
ENSG00000156298	-4107.845389	9.23E-35	2.14E-31
NA	-1678.153211	1.73E-34	3.84E-31
ENSG00000109265	-2387.259	2.92E-34	6.21E-31
ENSG00000169764	-21549.89278	4.33E-34	8.83E-31
ENSG00000187699	-3048.329311	4.96E-34	9.63E-31
ENSG00000109265	-1399.392511	5.1E-34	9.63E-31
ENSG00000158467	-9102.898778	6.39E-34	1.16E-30
ENSG00000103375	-28443.87204	8.69E-34	1.53E-30
ENSG00000187699	-2239.663833	2.9E-33	4.93E-30
ENSG00000147883	-474.2970611	5.98E-33	9.83E-30
ENSG00000119121	-1270.973986	6.45E-33	1.02E-29
ENSG00000198682	-6741.601889	6.58E-33	1.02E-29
ENSG00000173237	-682.2177611	8.14E-33	1.22E-29
ENSG00000105755	-16284.77294	1.17E-32	1.71E-29
ENSG00000134755	-4045.769278	1.73E-32	2.44E-29
ENSG00000138193	-2013.118556	2.11E-32	2.91E-29
ENSG00000171503	-1438.954889	2.26E-32	3.03E-29
ENSG00000198682	-16471.77778	2.31E-32	3.03E-29
ENSG00000164120	-2501.419756	2.42E-32	3.08E-29
ENSG00000040199	-3922.652111	2.63E-32	3.27E-29
ENSG00000142959	-637.3807761	3.27E-32	3.97E-29
ENSG00000080493	-2798.144608	4.97E-32	5.89E-29
ENSG00000109182	-1307.383853	9.71E-32	1.12E-28
ENSG00000187097	-8147.3245	1.18E-31	1.34E-28
ENSG00000137634	-6615.574467	1.33E-31	1.47E-28
ENSG00000171503	-1581.539789	3.95E-31	4.28E-28
ENSG00000226306	-381.1938956	4.65E-31	4.94E-28
ENSG00000071203	-32362.85891	4.9E-31	5.1E-28
NA	-1300.812012	5.04E-31	5.14E-28
ENSG00000138193	-1692.632944	5.28E-31	5.28E-28
ENSG00000125775	-10697.86789	5.95E-31	5.83E-28
ENSG00000086696	-8516.169033	6.73E-31	6.47E-28
ENSG00000151623	-4531.361753	7.53E-31	7.11E-28
ENSG00000187783	-1257.502744	7.84E-31	7.27E-28
ENSG00000006555	-4310.355722	9.62E-31	8.76E-28
ENSG00000082397	-1586.082437	9.83E-31	8.79E-28
ENSG00000164120	-13538.9795	1.6E-30	1.4E-27
ENSG00000082397	-1024.05915	1.71E-30	1.46E-27
ENSG00000120498	-307.2057656	1.71E-30	1.46E-27
ENSG00000137872	-3098.061917	2.44E-30	2.04E-27
ENSG00000101782	-3576.842222	2.9E-30	2.38E-27
ENSG00000164120	-13490.01361	3.79E-30	3.07E-27
ENSG00000269404	-439.3990267	6.32E-30	5.03E-27
ENSG00000138678	-1352.372594	7.05E-30	5.53E-27
ENSG00000146966	-1166.995022	1.22E-29	9.39E-27
ENSG00000186198	-3163.648365	1.23E-29	9.39E-27
ENSG00000019102	-2542.629745	1.75E-29	1.31E-26
ENSG00000178462	-1916.209583	1.92E-29	1.42E-26
ENSG00000145287	-32500.67161	2.15E-29	1.56E-26
ENSG00000166869	-9371.014222	2.52E-29	1.81E-26
ENSG00000168748	-1245.197	2.83E-29	2E-26
ENSG00000136044	-4030.658278	2.96E-29	2.07E-26
ENSG00000112782	-5987.567111	3.93E-29	2.71E-26
ENSG00000074410	-7064.042611	5.61E-29	3.81E-26
ENSG00000144063	-12400.47744	6.78E-29	4.55E-26
ENSG00000155850	-26815.032	7.65E-29	5.06E-26
ENSG00000042445	-3862.923944	8.26E-29	5.4E-26
ENSG00000109814	-8499.383611	1.06E-28	6.84E-26
ENSG00000181061	-20924.79167	1.16E-28	7.4E-26
ENSG00000073417	-3973.247667	1.32E-28	8.24E-26
ENSG00000155545	-2295.239833	1.33E-28	8.24E-26
ENSG00000165959	-2135.072889	1.78E-28	1.09E-25
ENSG00000154274	-2045.269889	1.81E-28	1.1E-25
ENSG00000116833	-842.8685961	2.28E-28	1.36E-25
ENSG00000067113	-5268.200167	2.43E-28	1.44E-25
ENSG00000155545	-2343.168167	4.19E-28	2.46E-25
ENSG00000152763	-496.7183778	4.44E-28	2.57E-25
ENSG00000198160	-3015.256667	5.22E-28	2.99E-25
ENSG00000143167	-13799.48	5.93E-28	3.36E-25
ENSG00000181061	-17903.99222	7.43E-28	4.16E-25
ENSG00000075568	-3351.408833	7.66E-28	4.24E-25
ENSG00000155850	-39327.49856	8.53E-28	4.67E-25
ENSG00000176387	-6158.650167	8.66E-28	4.69E-25
ENSG00000114455	-2883.394072	9.32E-28	5E-25
ENSG00000071073	-1268.1745	1.53E-27	8.12E-25
ENSG00000162817	-3690.092706	1.74E-27	9.14E-25
ENSG00000148842	-485.6114667	1.81E-27	9.44E-25
ENSG00000074410	-15705.24778	2.04E-27	1.05E-24
NA	-2366.3414	2.11E-27	1.07E-24
ENSG00000115841	-1468.592	2.75E-27	1.39E-24
ENSG00000165806	-5445.838333	2.92E-27	1.46E-24
ENSG00000139433	-5004.224722	3.77E-27	1.86E-24
ENSG00000067113	-3464.634389	4.16E-27	2.04E-24
ENSG00000168903	-2096.481556	4.31E-27	2.09E-24
ENSG00000112782	-999.6935222	5.08E-27	2.44E-24
ENSG00000168405	-513.8881367	6.29E-27	3E-24
ENSG00000169860	-455.7028611	7.21E-27	3.4E-24
ENSG00000166510	-1814.523389	1.3E-26	6.07E-24
ENSG00000198121	-1346.330283	1.74E-26	8.05E-24
ENSG00000108187	-1915.323611	1.93E-26	8.88E-24
ENSG00000178537	-2219.674944	2.05E-26	9.34E-24
ENSG00000165895	-611.5260833	2.35E-26	1.06E-23
ENSG00000111863	-7467.723878	2.63E-26	1.17E-23
ENSG00000101782	-8242.007778	2.85E-26	1.26E-23
